OBJECTID,Park_Name,Functional,Condition,RoofMatrl,Water,Electricty,Comment,InspctDate,BuildName,Area_Sqft,Stories,Sprinkler,HC_Access,Cooling,Heating,wpMaterial,RoofStruct,Sewer,NaturalGas,LPGas,Telephone,Cable
1,Grand Lake State Park (Bernice Area),Shelter/Pavilion,Keep,Asphalt,Yes,Yes,Roof Structure Other: Shingles,8/16/2011,,742,1,No,Accessible,None,,Metal,Other,,,,,
2,Grand Lake State Park (Bernice Area),Other,Keep,Metal,No,No,Lookout Tower,8/15/2011,,204,1,No,,,,Wood,,,,,,
3,Grand Lake State Park (Bernice Area),Other,Keep,Metal,No,No,Lookout Tower,8/15/2011,,212,1,No,,,,Wood,,,,,,
4,Grand Lake State Park (Cherokee Area),Shelter/Pavilion,Keep,Wood,No,Yes,Grandview Shelter,7/11/2011,GV SH,1394,1,No,,,,Metal,,,,,,
5,Grand Lake State Park (Disney Area),Shelter/Pavilion,Keep,Wood,No,No,,6/30/2011,,880,1,No,,,,Metal,,,,,,
6,Grand Lake State Park (Grand Cherokee Area),Shelter/Pavilion,Keep,Metal,No,No,Golf Cart Storage,8/16/2011,,1340,1,No,,,,Metal,,,,,,
7,Grand Lake State Park (Honey Creek Area),,Keep,Other,No,No,1 of 2 Benches Needs Repair; RoofOther: Shingles,8/12/2011,,148,1,No,,,,Wood,,,,,,
8,Grand Lake State Park (Honey Creek Area),Shelter/Pavilion,Keep,Other,Yes,Yes,Squirrel Hollow Shelter. Strct_Othr: 11 PTs & 4 Benches Accomodates 150; RoofOther: Shingles.,8/12/2011,SHS01,946,1,No,,,,Metal,,,,,,
9,Grand Lake State Park (Honey Creek Area),Shelter/Pavilion,Keep,Other,Yes,Yes,Tent B shelter RRS01.7 PTs Accomodates 100; RoofOther: Shingles,8/12/2011,RRS01,807,1,No,,,,Metal,,,,,,
10,Grand Lake State Park (Lakeside Area),Shelter/Pavilion,Keep,Wood,Yes,Yes,LS SH - Lakeside Shelter,7/11/2011,LS SH,1232,1,No,,,,Metal,,,,,,
11,Osage Hills State Park,Other,Keep,Wood,No,Yes,Pool Pump House,7/11/2011,,374,1,No,,,,Wood,,,,,,
12,Osage Hills State Park,Shelter/Pavilion,Keep,Other,Yes,Yes,FacltOther: Fireplace; Shelter #2; RoofOther: Shingles,7/11/2011,,551,1,No,,,,Wood,,,,,,
13,Osage Hills State Park,Shelter/Pavilion,Keep,Other,No,Yes,Shelther #1; Roof Structure Other: Shingles,7/12/2011,,1594,1,No,,,,Metal,,,,,,
14,Grand Lake State Park (Riverside Area),Shelter/Pavilion,Keep,Wood,Yes,Yes,,8/15/2011,,1169,1,No,,,,Metal,,,,,,
15,Grand Lake State Park (Snowdale Area),Shelter/Pavilion,Keep,Metal,No,Yes,,7/26/2011,,2364,1,No,,,,Metal,,,,,,
16,Grand Lake State Park (Snowdale Area),Shelter/Pavilion,Keep,Wood,Yes,Yes,,7/26/2011,,845,1,No,,,,Metal,,,,,,
17,Grand Lake State Park (Spavinaw Area),Shelter/Pavilion,Keep,Metal,Yes,Yes,,12/16/2011,,910,1,No,,,,Metal,,,,,,
18,Grand Lake State Park (Spavinaw Area),Shelter/Pavilion,Keep,Other,Yes,Yes,Roof Structure Other: Shingles,12/16/2011,SH1,987,1,No,,,,Metal,Other,,,,,
19,Grand Lake SP- Spring River Canoe Trail,Shelter/Pavilion,Keep,Other,Yes,Yes,Roof Structure Other: Shingles,12/16/2011,,845,1,No,,,,Metal,Other,,,,,
20,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Asphalt,Yes,Yes,Roof Structure Other: Asphalt Shingles. Anglers Paradise Shelter.,8/16/2011,APSH1,1081,1,No,,,,Metal,Other,,,,,
21,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Asphalt,No,Yes,Roof Structure Other: Asphalt Shingles,8/16/2011,,195,1,No,,,,Metal,Other,,,,,
22,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Asphalt,No,Yes,Roof Structure Other:Asphalt Shingles,8/16/2011,,172,1,No,,,,Metal,Other,,,,,
23,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Asphalt,Yes,Yes,Roof Structure Other: Asphalt Shingles.  Woody Hill Shelter 05,8/16/2011,WHS05,838,1,No,,,,Metal,Other,,,,,
24,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Other,Yes,Yes,FacltOther: 2 Grills; Roof Structure Other: Shingles.   Woody Hill Shelter 04,8/16/2011,WHS04,970,1,No,,,,Metal,Other,,,,,
25,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Other,Yes,Yes,Eagle Bluff,8/17/2011,EBSH2,1580,1,No,,,,Metal,,,,,,
26,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Asphalt,No,No,Pillars are Rusty; Roof Structure Other: Asphalt Shingles,8/17/2011,,156,1,No,Accessible,None,None,Metal,Other,No,No,No,No,No
27,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Asphalt,No,No,Pillars are Rusty; Roof Structure Other: Asphalt Shingles,8/17/2011,,174,1,No,Accessible,None,None,Metal,Other,No,No,No,No,No
28,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Asphalt,No,No,FacltOther: Fire Ring; Pillars are Rusty; Roof Structure Other: Asphalt Shingles,8/17/2011,,175,1,No,Accessible,None,None,Metal,Other,No,No,No,No,No
29,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Asphalt,No,No,Pillars are Rusty; Roof Structure Other: Asphalt Shingles,8/17/2011,,179,1,No,Accessible,None,None,Metal,Other,No,No,No,No,No
30,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Asphalt,No,No,FacltOther: Fire Ring; Pillars are Rusty; Roof Structure Other: Asphalt Shingles,8/17/2011,,176,1,No,Accessible,None,None,Metal,Other,No,No,No,No,No
31,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Metal,No,Yes,Gopher Valley Shelter,8/17/2011,GVSH3,3098,1,No,,None,None,Metal,Gambrel,No,No,No,No,No
32,Grand Lake State Park (Twin Bridges Area),Shelter/Pavilion,Keep,Asphalt,No,No,Pillars are Rusty; Roof Structure Other: Asphalt Shingles,8/17/2011,,164,1,No,,,,Metal,Other,,,,,
33,Keystone State Park,Shelter/Pavilion,Keep,Metal,,Yes,Wall/Pillar Material Othr: Rocks,12/21/2010,,877,1,No,,,,Other,,,,,,
34,Keystone State Park,Shelter/Pavilion,Keep,Metal,Yes,No,,12/21/2010,5H01,851,1,No,,,,Metal,,,,,,
35,Keystone State Park,Shelter/Pavilion,Keep,Metal,Yes,No,,12/21/2010,5H02,822,1,No,,,,Metal,,,,,,
36,Keystone State Park,Shelter/Pavilion,Keep,Metal,Yes,No,Wall/Pillar Material Other: Cinder Blocks,12/25/2010,,848,1,No,,,,Other,,,,,,
37,Keystone State Park,Shelter/Pavilion,Keep,Metal,Yes,No,,1/4/2011,5H04,793,1,No,,,,Metal,,,,,,
38,Keystone State Park,Shelter/Pavilion,Keep,Metal,Yes,Yes,,1/4/2011,5H05,866,1,No,,,,Metal,,,,,,
39,Keystone State Park,Shelter/Pavilion,Keep,Wood,No,No,,1/4/2011,,191,1,No,,,,,,,,,,
43,Sequoyah State Park,Shelter/Pavilion,Keep,Metal,No,Yes,"""Seminol Picnic Shelter""",6/7/2011,SMSH1,1017,1,No,Usable,None,None,Metal,Gable,No,No,No,No,No
44,Sequoyah State Park,Shelter/Pavilion,Keep,Metal,Yes,No,,6/13/2011,,176,1,,,,,Metal,,,,No,,
48,Sequoyah State Park,Storage Building,Keep,Metal,No,No,Hay Barn,6/20/2011,Hay Barn,1776,1,,,,,Wood,,,,No,,
50,Sequoyah State Park,Storage Building,Keep,Metal,,,Storage,6/21/2011,,84,1,,,,,Metal,,,,No,,
51,Sequoyah State Park,Shelter/Pavilion,Keep,Concrete,,,Strct_Othr: Storm Shelter,6/27/2011,,105,1,,,,,,Other,,,No,,
54,Sequoyah State Park,Shelter/Pavilion,Keep,Asphalt,Yes,Yes,"""Creek Picnic Shelter"" PillarOthr: Rocks",6/6/2011,CRSH1,1665,1,No,Usable,None,None,Concrete,Gable,No,No,No,No,No
55,Sequoyah State Park,Shelter/Pavilion,Keep,Wood,Yes,Yes,"""Paradise Cove Picnic Shelter""  PillarOthr: Rocks/Mason",6/7/2011,PCSH1,1455,1,No,Usable,None,None,Concrete,Gable,No,No,No,No,No
56,Sequoyah State Park,Shelter/Pavilion,Repair,Wood,No,No,,6/7/2011,,409,1,,,,,Metal,,,,No,,
57,Sequoyah State Park,Shelter/Pavilion,Keep,Wood,Yes,Yes,,6/7/2011,,1831,1,,,,,Metal,,,,No,,
58,Sequoyah State Park,Storage Building,Keep,Metal,Yes,,Boat Barn,2/21/2012,,4118,1,,,,,,,,,No,,
59,Sequoyah Bay State Park,Shelter/Pavilion,Keep,Asphalt,No,Yes,Group Camp Shelter,6/29/2011,,1004,1,,,,,Metal,,,,,,
60,Sequoyah Bay State Park,Shelter/Pavilion,Keep,Other,No,Yes,Attakullakulla Picnic Shelter,6/29/2011,,1020,1,,,,,Concrete,,,,,,
62,Sequoyah Bay State Park,Shelter/Pavilion,Keep,Other,Yes,Yes,8 Picnic Tables Wooden; RoofOther: Shingles,6/29/2011,,1026,1,,,,,Metal,Other,,,,,
63,Sequoyah Bay State Park,Shelter/Pavilion,Keep,Other,Yes,Yes,2 Grills 9 Picnic Tables; RoofOther: Shingles,6/29/2011,,1492,1,,,,,Concrete,Other,,,,,
64,Sequoyah Bay State Park,Storage Building,Repair,Metal,,,,6/29/2011,,2739,1,,,,,,,,,,,
65,Lake Murray State Park,Other,Keep,Metal,No,No,Car Port,3/25/2011,,752,1,No,,,,Metal,,,,,,
66,Lake Murray State Park,Shelter/Pavilion,Keep,Wood,No,Yes,,3/26/2011,,2183,1,No,,,,Wood,,,,,,
67,Lake Murray State Park,Shelter/Pavilion,Keep,Wood,No,Yes,,3/26/2011,,270,1,No,,,,Wood,,,,,,
68,Lake Murray State Park,Shelter/Pavilion,Keep,Other,No,Yes,PillarOthr: Stone,12/17/2019,,862,1,No,,,,Masonry/Concrete,,,,,,
69,Lake Murray State Park,Shelter/Pavilion,Keep,Wood,No,Yes,,7/26/2010,GC02,239,1,No,,,,Wood,,,,,,
70,Lake Murray State Park,Shelter/Pavilion,Keep,Wood,No,No,FacltOther: Fire Ring,7/27/2010,,89,1,No,,,,,,,,,,
71,Lake Murray State Park,Shelter/Pavilion,Keep,Metal,No,No,Roof Structure Other: Combo,12/17/2019,GC03,2637,1,No,,,,Metal,Other,,,,,
72,Lake Murray State Park,Shelter/Pavilion,Keep,Wood,Yes,Yes,,12/17/2019,SHL08,1421,1,No,,,,Metal,,,,,,
73,Lake Murray State Park,Shelter/Pavilion,Keep,Wood,No,No,,12/17/2019,,698,1,No,,,,Metal,,,,,,
74,Lake Murray State Park,Stable,Repair,Wood,Yes,Yes,Stable Barn,8/1/2010,,1564,1,No,,,,Wood,,,,,,
75,Lake Murray State Park,Shelter/Pavilion,Keep,Wood,Yes,Yes,,12/17/2019,SHL07,1373,1,No,,,,Metal,,,,,,
76,Lake Murray State Park,Shelter/Pavilion,Keep,Wood,Yes,No,PillarOthr: Stone,12/17/2019,,394,1,No,,,,Masonry/Concrete,,,,,,
77,Lake Murray State Park,Shelter/Pavilion,Keep,Wood,Yes,Yes,Duke's Forest Campground,8/3/2010,,1338,1,No,,,,Metal,,,,,,
78,Lake Murray State Park,Shelter/Pavilion,Keep,Metal,No,No,,8/3/2010,,980,1,No,,,,Metal,,,,,,
79,Lake Murray State Park,Other,Keep,Metal,No,No,Car Shelter,8/3/2010,,501,1,No,,,,Metal,,,,,,
80,Lake Murray State Park,Storage Building,Keep,Metal,Yes,Yes,Barn,8/3/2010,,4493,1,No,,,,Wood,,,,,,
81,Lake Murray State Park,Other,Keep,Metal,Yes,No,Dog Kennels,8/3/2010,,644,1,No,,,,Metal,,,,,,
82,Lake Murray State Park,Other,Keep,Metal,Yes,No,Dog Kennels,8/3/2010,,718,1,No,,,,Metal,,,,,,
83,Lake Murray State Park,Storage Building,Keep,Metal,No,No,Barn,8/3/2010,,518,1,No,,,,Metal,,,,,,
84,Lake Murray State Park,Storage Building,Keep,Metal,No,No,Barn,8/3/2010,,560,1,No,,,,Metal,,,,,,
85,Lake Murray State Park,Other,Keep,Metal,No,No,Gas Station Pump Shelter,,,1961,1,No,,,,,,,,,,
90,Sequoyah State Park,Other,Repair,Other,No,No,Car Port; Roof Structure Other: Greenhouse Roofing,1/20/2012,,189,1,,,,,Metal,Other,,,No,,
91,Lake Murray State Park,Other,Keep,Metal,No,No,Car Port,2/10/2012,,245,1,No,,,,Metal,,,,,,
92,Lake Murray State Park,Other,Keep,Metal,No,No,Car Port,2/10/2012,,236,1,No,,,,Metal,,,,,,
93,Lake Murray State Park,Other,Keep,Wood,,No,Car Port,12/18/2019,,256,1,No,,,,Metal,,,,,,
94,Lake Murray State Park,Storage Building,Keep,Metal,No,No,Bike Storage,2/10/2012,,60,1,No,,,,Wood,,,,,,
95,Sequoyah State Park,Storage Building,Keep,Metal,No,Yes,Storage Maintenance,6/29/2011,,3044,1,,,,,Wood,,,,No,,
96,Sequoyah State Park,Maintenance Building,Keep,Metal,No,Yes,Storage Maintenance,6/29/2011,,2543,1,,,,,Wood,,,,No,,
97,Lake Murray State Park,Shelter/Pavilion,Keep,Metal,Yes,Yes,,,SHL04,1621,1,No,,,,Metal,,,,,,
98,Lake Murray State Park,Shelter/Pavilion,Keep,Metal,Yes,No,,,,289,1,No,,,,Wood,,,,,,
99,Lake Murray State Park,Shelter/Pavilion,Keep,Metal,Yes,No,Fire Ring Lantern Post,12/18/2019,,218,1,No,,,,Metal,,,,,,
100,Lake Murray State Park,Shelter/Pavilion,Keep,Metal,Yes,No,Fire Ring Lantern Post,12/18/2019,,214,1,No,,,,Metal,,,,,,
101,Lake Murray State Park,Shelter/Pavilion,Keep,Metal,Yes,No,Fire Ring Lantern Post,12/18/2019,,221,1,No,,,,Metal,,,,,,
102,Lake Murray State Park,Shelter/Pavilion,Keep,Metal,Yes,No,Fire Ring Lantern Post,12/18/2019,,217,1,No,,,,Metal,,,,,,
103,Lake Murray State Park,Shelter/Pavilion,Keep,Metal,Yes,No,Fire Ring Lantern Post,12/18/2019,,219,1,No,,,,Metal,,,,,,
104,Lake Thunderbird State Park,Shelter/Pavilion,Keep,Asphalt,No,Yes,East Sentinel Shelter; Lantern: No; Electric: 30 & 50 AMP,5/22/2012,5HES1,1062,1,No,Usable,None,None,Metal,Gable,No,No,No,No,No
105,Lake Thunderbird State Park,Shelter/Pavilion,Keep,Other,No,No,,5/22/2012,,192,1,No,,,,Metal,,,,,,
