OBJECTID,Park_Name,MSName,ServType,Drive,Amps,CampName,InService,CampstNumb,Overnight,Day_use,PicnicT,PT_Cndtn,PT_HC_Accs,PT_Mterial,Grill,GrllCndtn,GrlHC_Accs,Grill_type,CampType,CampHC_Acs,CampPrxmty,Surface,PadCndtn,ElctHokup,ElctCndtn,AreaWater,WatHookup,WaterCndtn,Water_type,SewerHokup,Sew_Cndtn,SewerCover,Shade,Fr_rin_pit,Fr_HC_Aces,LnternPost,InspctDate,Comment,MSType
1,Grand Lake State Park (Bernice Area),RV030,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,30,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,No,,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
2,Grand Lake State Park (Bernice Area),RV031,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,31,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Usable,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
3,Grand Lake State Park (Bernice Area),RV032,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,32,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Interior,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
4,Grand Lake State Park (Bernice Area),RV033,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,33,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Usable,No,8/16/2011,Max Length50FT: Electric 30AMP to 50AMP,RV
5,Grand Lake State Park (Bernice Area),RV020,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,20,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
6,Grand Lake State Park (Bernice Area),RV021,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,21,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
7,Grand Lake State Park (Bernice Area),RV022,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,22,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
8,Grand Lake State Park (Bernice Area),RV015,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,15,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Usable,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
9,Grand Lake State Park (Bernice Area),RV016,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,16,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Usable,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
10,Grand Lake State Park (Bernice Area),RV017,RV 50S,Back-In,50 Amp,Bernice State Park,Yes,17,Yes,No,Yes,Keep,Useable,Wood,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Interior,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,No,8/16/2011,Split asphalt and concrete pad: Max Length50FT: Electric 30AMP to 50AMP,RV
